_record_id,name_history,name,ico,address,legal_form,region,date_start,date_end,activity1,activity2,account_sector,ownership,size,source_url
1,"","Ag - progres, spoločný podnik Trnava - v likvidácii",00149837,"Priemyselná 2,  918 41 Trnava",Družstvo,Trnava,1984-11-01,2006-03-23,"",Architektonické a inžinierske služby vrátane projektovania,Súkromné nefinančné korporácie,Družstevné,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=403
2,"","Bytové hospodárstvo, š.p.",00149888,"Dunajské nábr. 11/b,  945 46 Komárno",Štátny podnik,Komárno,1975-05-07,1998-10-23,Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Verejné nefinančné korporácie,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=404
3,"",Poľnohospodárske družstvo Javorina Malcov,00149896,"Malcov ,  086 06 Malcov",Družstvo,Bardejov,1975-05-01,"",Chov dojníc,"Chov hovädzieho dobytka, produkcia mlieka",Súkromné nefinančné korporácie,Družstevné,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=405
4,"",Roľnícke družstvo Radomka v likvidácii,00150541,"Šarišský Štiavnik ,  090 42 Šarišský Štiavnik",Družstvo,Svidník,1975-05-01,2009-10-17,Chov dojníc,"Chov hovädzieho dobytka, produkcia mlieka",Súkromné nefinančné korporácie,Družstevné,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=406
5,"",Rozkvet poľnohospodárske družstvo,00150592,"SNP 217,  049 18 Lubeník",Družstvo,Revúca,1975-05-01,"",Zmiešané hospodárstvo,Pestovanie plodín kombinované s chovom zvierat (zmiešané hospodárstvo),Súkromné nefinančné korporácie,Družstevné,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=407
6,"",Poľnohospodárske družstvo Vikartovce v konkurze,00150681,"Vikartovce ,  059 19 Vikartovce",Družstvo,Poprad,1975-05-01,2009-12-10,Chov dojníc,"Chov hovädzieho dobytka, produkcia mlieka",Súkromné nefinančné korporácie,Družstevné,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=408
7,"",Poľnohospodárske družstvo Kecerovce-Múdrovce v likvidácii,00150797,"Kecerovce ,  044 47 Kecerovce",Družstvo,Košice - okolie,1982-09-01,"","Pestovanie obilnín (okrem ryže), strukovín a olejnatých semien ",Pestovanie obilnín a iných kultúrnych plodín i. n.,Súkromné nefinančné korporácie,Družstevné,50-99 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=409
8,"","Agrostav, inžiniersko-projektová organizácia, a.s.",00151017,"Kollárova 46,  974 01 Banská Bystrica",Akciová spoločnosť,Banská Bystrica,1975-06-12,"",Architektonické činnosti,Architektonické a inžinierske služby vrátane projektovania,Súkromné nefinančné korporácie,Družstevné,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=410
9,"",Technické služby mesta Hnúšťa,00151149,"Kotlište, P.O.BOX 25,  981 01 Hnúšťa",Príspevková organizácia,Rimavská Sobota,1975-07-04,"",Zber iného ako nebezpečného odpadu,"Asanačné, ozdravovacie a podobné činnosti",Miestna samospráva,Vlastníctvo územnej samosprávy,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=411
10,"",Poľnohospodársko-výrobno-obchodné družstvo v likvidácii,00151181,"Zákamenné 125,  029 56 Zákamenné",Družstvo,Námestovo,1978-02-01,2010-08-11,Zmiešané hospodárstvo,Pestovanie plodín kombinované s chovom zvierat (zmiešané hospodárstvo),Súkromné nefinančné korporácie,Družstevné,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=412
11,"",Kancelária Národnej rady Slovenskej republiky,00151491,"Nám. Alexandra  Dubčeka 1,  812 80 Bratislava - Staré Mesto",Rozpočtová organizácia,Bratislava I,1972-01-01,"",Všeobecná verejná správa,Všeobecná verejná správa,Ústredná štátna správa,Štátne,500-999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=413
12,"",Úrad vlády Slovenskej republiky,00151513,"Nám.Slobody 1,  813 70 Bratislava - Staré Mesto",Rozpočtová organizácia,Bratislava I,1972-01-01,"",Všeobecná verejná správa,Všeobecná verejná správa,Ústredná štátna správa,Štátne,250-499 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=414
13,"",DataCentrum,00151564,"Cintorínska 5,  814 88 Bratislava - Staré Mesto",Rozpočtová organizácia,Bratislava I,1976-01-01,"","Spracovanie dát, poskytovanie serverového priestoru na internete a súvisiace služby",Spracúvanie údajov,Ústredná štátna správa,Štátne,50-99 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=415
14,"",Správa pre veci majetkové SR,00151602,"Cintorínska 5,  816 17 Bratislava - Staré Mesto",Rozpočtová organizácia,Bratislava I,1972-01-01,2001-12-31,Všeobecná verejná správa,Všeobecná verejná správa,Ústredná štátna správa,Štátne,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=416
15,"2013-11-18: Slovenská sporiteľňa, a.s.","Slovenská sporiteľňa, a.s. v skratke SLSP, a.s.",00151653,"Tomášikova 48,  832 37 Bratislava - Nové Mesto",0,Bratislava III,1972-01-01,2013-10-04,0,0,0,0,4000,http://www.statistics.sk/pls/wregis/detail?wxidorg=417
16,"","Allianz - Slovenská poisťovňa, a.s.",00151700,"Dostojevského rad 4,  815 74 Bratislava - Staré Mesto",Akciová spoločnosť,Bratislava I,1972-01-01,"",Neživotné poistenie,Neživotné poistenie,Poisťovacie korporácie a penzijné fondy pod zahraničnou kontrolou,Medzinárodné s prevažujúcim súkromným sektorom,2000-2999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=418
17,"",Ministerstvo financií Slovenskej republiky,00151742,"Štefanovičova 5,  817 82 Bratislava - Staré Mesto",Rozpočtová organizácia,Bratislava I,1991-10-25,"",Všeobecná verejná správa,Všeobecná verejná správa,Ústredná štátna správa,Štátne,500-999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=419
18,"",Jozef Haffner,00151785,"Drôtovňa ,  920 01 Hlohovec",Podnikateľ-fyzická osoba-nezapísaný v obchodnom registri,Hlohovec,1992-11-10,2000-03-02,"",Ostatné služby i. n.,Fyzické osoby podnikajúce na základe živnostenského zákona a iných právnych predpisov nezapísané v obchodnom registri,Súkromné tuzemské,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=420
19,"",Inštitút pre verejnú správu,00151858,"M. Schneidra-Trnavského 1/A,  844 10 Bratislava - Dúbravka",0,Bratislava IV,1982-12-01,2012-12-31,0,0,0,0,50,http://www.statistics.sk/pls/wregis/detail?wxidorg=421
20,"",Ministerstvo vnútra Slovenskej republiky,00151866,"Pribinova 2,  812 72 Bratislava - Staré Mesto",Rozpočtová organizácia,Bratislava I,1988-05-01,"",Všeobecná verejná správa,Všeobecná verejná správa,Ústredná štátna správa,Štátne,5000-9999 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=422
